Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 84.0.4147.125,,,2020-08-19 20:39:25,2020-08-19 20:39:29,3.223s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/h2_Appointment Confirmation""))",Chrome 84.0.4147.125,,,2020-08-19 20:39:29,2020-08-19 20:39:30,1.314s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/p_Please be informed that your appointment _11813a""))",Chrome 84.0.4147.125,,,2020-08-19 20:39:30,2020-08-19 20:39:31,0.892s,PASSED
closeBrowser(),Chrome 84.0.4147.125,,,2020-08-19 20:39:31,2020-08-19 20:39:32,1.274s,PASSED
,,,,,,,
Test Cases/TestCase2_ecommerce,Chrome 84.0.4147.125,,,2020-08-19 20:39:34,2020-08-19 20:40:04,29.035s,PASSED
"openBrowser("""")",Chrome 84.0.4147.125,,,2020-08-19 20:39:36,2020-08-19 20:39:42,5.743s,PASSED
"navigateToUrl(findTestData(""Testdata_External"").getValue(""URL"", 3))",Chrome 84.0.4147.125,,,2020-08-19 20:39:42,2020-08-19 20:39:51,9.230s,PASSED
"setText(findTestObject(""Object Repository/TestCase2_ecommerce/Page_ProtoCommerce/input_Name_name""), findTestData(""Testdata_External"").getValue(""UserName"", 3))",Chrome 84.0.4147.125,,,2020-08-19 20:39:51,2020-08-19 20:39:54,2.658s,PASSED
"setText(findTestObject(""Object Repository/TestCase2_ecommerce/Page_ProtoCommerce/input_Email_email""), findTestData(""Testdata_External"").getValue(""Email"", 3))",Chrome 84.0.4147.125,,,2020-08-19 20:39:54,2020-08-19 20:39:55,1.705s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TestCase2_ecommerce/Page_ProtoCommerce/input_Password_exampleInputPassword1""), findTestData(""Testdata_External"").getValue(""Password"", 3))",Chrome 84.0.4147.125,,,2020-08-19 20:39:55,2020-08-19 20:39:56,1.122s,PASSED
"click(findTestObject(""Object Repository/TestCase2_ecommerce/Page_ProtoCommerce/input_Password_exampleCheck1""))",Chrome 84.0.4147.125,,,2020-08-19 20:39:56,2020-08-19 20:39:57,0.867s,PASSED
"click(findTestObject(""Object Repository/TestCase2_ecommerce/Page_ProtoCommerce/input_Student_inlineRadioOptions""))",Chrome 84.0.4147.125,,,2020-08-19 20:39:57,2020-08-19 20:39:58,0.629s,PASSED
"setText(findTestObject(""Object Repository/TestCase2_ecommerce/Page_ProtoCommerce/DOB""), findTestData(""Testdata_External"").getValue(""DOB"", 3))",Chrome 84.0.4147.125,,,2020-08-19 20:39:58,2020-08-19 20:39:59,1.129s,PASSED
"click(findTestObject(""Object Repository/TestCase2_ecommerce/Page_ProtoCommerce/input_Date of Birth_btn btn-success""))",Chrome 84.0.4147.125,,,2020-08-19 20:39:59,2020-08-19 20:40:00,0.617s,PASSED
"click(findTestObject(""Object Repository/TestCase2_ecommerce/Page_ProtoCommerce/div_                    Success The Form ha_13b099""))",Chrome 84.0.4147.125,,,2020-08-19 20:40:00,2020-08-19 20:40:00,0.516s,PASSED
closeBrowser(),Chrome 84.0.4147.125,,,2020-08-19 20:40:00,2020-08-19 20:40:01,1.201s,PASSED
