Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
July Release tcs,Chrome 84.0.4147.125,,,2020-08-19 20:38:41,2020-08-19 20:40:04,1m - 22.365s,PASSED
,,,,,,,
Test Cases/TestCase1_Helth care,Chrome 84.0.4147.125,,,2020-08-19 20:38:43,2020-08-19 20:39:34,51.257s,PASSED
"openBrowser("""")",Chrome 84.0.4147.125,,,2020-08-19 20:38:47,2020-08-19 20:39:04,16.928s,PASSED
"navigateToUrl(findTestData(""Testdata_Internal"").getValue(""URL"", 1))",Chrome 84.0.4147.125,,,2020-08-19 20:39:04,2020-08-19 20:39:10,6.071s,PASSED
"setText(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/input_Username_username""), findTestData(""Testdata_Internal"").getValue(""UserName"", 1))",Chrome 84.0.4147.125,,,2020-08-19 20:39:10,2020-08-19 20:39:12,2.430s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/input_Password_password""), findTestData(""Testdata_Internal"").getValue(""Password"", 1))",Chrome 84.0.4147.125,,,2020-08-19 20:39:12,2020-08-19 20:39:14,2.055s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/button_Login""))",Chrome 84.0.4147.125,,,2020-08-19 20:39:14,2020-08-19 20:39:17,2.456s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 84.0.4147.125,,,2020-08-19 20:39:17,2020-08-19 20:39:20,3.108s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Chrome 84.0.4147.125,,,2020-08-19 20:39:20,2020-08-19 20:39:21,0.880s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Chrome 84.0.4147.125,,,2020-08-19 20:39:21,2020-08-19 20:39:22,1.016s,PASSED
"click(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/td_25""))",Chrome 84.0.4147.125,,,2020-08-19 20:39:22,2020-08-19 20:39:23,1.208s,PASSED
"setText(findTestObject(""Object Repository/Testcase1_Helth care/Page_CURA Healthcare Service/textarea_Comment_comment""), findTestData(""Testdata_Internal"").getValue(""Comments"", 1))",Chrome 84.0.4147.125,,,2020-08-19 20:39:23,2020-08-19 20:39:25,2.444s,PASSED
